Question,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Correct Answer(s)
A small business uses kiosks on the sales floor to display product information for customers. A security team discovers the kiosks use end-of-life operating systems. Which of the following is the security team most likely to document as a security implication of the current architecture?,Patch availability,Product software compatibility,Ease of recovery,Cost of replacement,,,,,D
"During a security incident, the security operations team identified sustained network traffic from a malicious IP address: 10.1.4.9. A security analyst is creating an inbound firewall rule to block the IP address from accessing the organization's network. Which of the following fulfills this request?",access-list inbound deny ip source 0.0.0.0/0 destination 10.1.4.9/32,access-list inbound deny ip source 10.1.4.9/32 destination 0.0.0.0/0,access-list inbound permit ip source 10.1.4.9/32 destination 0.0.0.0/0,access-list inbound permit ip source 0.0.0.0/0 destination 10.1.4.9/32,,,,,B
Which of the following is the phase in the incident response process when a security analyst reviews roles and responsibilities?,Preparation,Recovery,Lessons learned,Analysis,,,,,A
Which of the following can be used to identify potential attacker activities without affecting production servers?,Honeypot,Video surveillance,Zero trust,Geofencing,,,,,A
A company wants the ability to restrict web access and monitor the websites that employees visit. Which of the following would best meet these requirements?,Internet proxy,VPN,WAF,Firewall,,,,,A
"A security analyst notices an unusual amount of traffic hitting the edge of the network. Upon examining the logs, the analyst identifies a source IP address and blocks that address from communicating with the network. Even though the analyst is blocking this address, the attack is still ongoing and coming from a large number of different source IP addresses. Which of the following describes this type of attack?",DDoS,Privilege escalation,DNS poisoning,Buffer overflow,,,,,A
A company needs to centralize its logs to create a baseline and have visibility on its security events. Which of the following technologies will accomplish this objective?,Security information and event management,A web application firewall,A vulnerability scanner,A next-generation firewall,,,,,A
Two organizations are discussing a possible merger. Both organizations' Chief Financial Officers would like to safely share payroll data with each other to determine if the pay scales for different roles are similar at both organizations. Which of the following techniques would be best to protect employee data while allowing the companies to successfully share this information?,Pseudo-anonymization,Tokenization,Data masking,Encryption,,,,,B
"A large retail store's network was breached recently, and this news was made public. The store did not lose any intellectual property, and no customer information was stolen. Although no fines were incurred as a result, the store lost revenue after the breach. Which of the following is the most likely reason for this issue?",Employee training,Leadership changes,Reputation damage,Identity theft,,,,,C
A government organization is developing an advanced Al defense system. Developers are using information collected from third-party providers. Analysts are noticing inconsistencies in the expected progress of the Al learning and attribute the outcome to a recent attack on one of the suppliers. Which of the following is the most likely reason for the inaccuracy of the system?,Improper algorithms security,Tainted training data,Fileless virus,Cryptomalware,,,,,B
A company's help desk has received calls about the wireless network being down and users being unable to connect to it. The network administrator says all access points are up and running. One of the help desk technicians notices the affected users are working in a building near the parking lot. Which of the following is the most likely reason for the outage?,Someone near the building is jamming the signal.,A user has set up a rogue access point near the building.,Someone set up an evil twin access point in the affected area.,The APs in the affected area have been unplugged from the network.,,,,,A
Which of the following can best protect against an employee inadvertently installing malware on a company system?,Host-based firewall,System isolation,Least privilege,Application allow list,,,,,D
An information security officer at a credit card transaction company is conducting a framework-mapping exercise with the internal controls. The company recently established a new office in Europe. To which of the following frameworks should the security officer map the existing controls? (Choose two.),ISO,PCIDSS,SOC,GDPR,CSA,NIST,,,B & D
"A customer called a company's security team to report that all invoices the customer has received over the last five days from the company appear to have fraudulent banking details. An investigation into the matter reveals the following:
• The manager of the accounts payable department is using the same password across multiple external websites and the corporate account.
• One of the websites the manager used recently experienced a data breach.
• The manager's corporate email account was successfully accessed in the last five days by an IP address located in a foreign country.
Which of the following attacks has most likely been used to compromise the manager's corporate account?",Remote access Trojan,Brute-force,Dictionary,Credential stuffing,Password spraying,,,,D
"An organization's corporate offices were destroyed due to a natural disaster, so the organization is now setting up offices in a temporary work space. Which of the following will the organization most likely consult?",The business continuity plan,The risk management plan,The communication plan,The incident response plan,,,,,A
A security analyst is taking part in an evaluation process that analyzes and categorizes threat actors of real-world events in order to improve the incident response team's process. Which of the following is the analyst most likely participating in?,MITRE ATT&CK,Walk-through,Red team,Purple team,TAXII,,,,A
"A network manager wants to protect the company's VPN by multifactor authentication that uses:
• Something you know
• Something you have
• Somewhere you are
Which of the following would accomplish the manager's goal?","Domain name. PKI, GeoIP lookup","VPN IP address, company ID. partner site","Password, authentication token, thumbprint","Company URL, TLS certificate, home address",,,,,C
Which of the following terms should be included in a contract to help a company monitor the ongoing security maturity of a new vendor?,A right-to-audit clause allowing for annual security audits,Requirements for event logs to be kept for a minimum of 30 days,Integration of threat intelligence in the company's AV,A data-breach clause requiring disclosure of significant data loss,,,,,A
"Which of the following cloud models provides clients with servers, storage, and networks but nothing else?",SaaS,PaaS,IaaS,DaaS,,,,,C
A marketing coordinator is trying to access a social media application on a company laptop but is getting blocked. The coordinator opens a help desk ticket to report the issue. Which of the following documents should a security analyst review to determine whether accessing social media applications on a company device is permitted?,Incident response policy,Business continuity policy,Change management policy,Acceptable use policy,,,,,D
Law enforcement officials sent a company a notification that states electronically stored information and paper documents cannot be destroyed. Which of the following explains this process?,Data breach notification,Accountability,Legal hold,Chain of custody,,,,,C
A company wants to deploy decoy systems alongside production systems in order to entice threat actors and to learn more about attackers. Which of the following best describes these systems?,DNS sinkholes,Honeypots,Virtual machines,Neural networks,,,,,B
A company's help desk received several AV alerts indicating Mimikatz attempted to run on the remote systems. Several users also reported that the new company flash drives they picked up in the break room only have 512KB of storage. Which of the following is most likely the cause?,"The GPO prevents the use of flash drives, which triggers a false positive AV indication and restricts the drives to only 512KB of storage.","The new flash drives need a driver that is being blocked by the AV software because the flash drives are not on the application's allow list, temporarily restricting the drives to 512KB of storage.","The new flash drives are incorrectly partitioned, and the systems are automatically trying to use an unapproved application to repartition the drives.",The GPO blocking the flash drives is being bypassed by a malicious flash drive that is attempting to harvest plaintext credentials from memory.,,,,,D
A company has installed badge readers for building access but is finding unauthorized individuals roaming the hallways. Which of the following is the most likely cause?,Shoulder surfing,Phishing,Tailgating,Identity fraud,,,,,C
"An organization routes all of its traffic through a VPN. Most users are remote and connect into a corporate data center that houses confidential information. There is a firewall at the internet border, followed by a DLP appliance, the VPN server, and the data center itself. Which of the following is the weakest design element?",The DLP appliance should be integrated into a NGFW.,Split-tunnel connections can negatively impact the DLP appliance's performance.,Encrypted VPN traffic will not be inspected when entering or leaving the network.,Adding two hops in the VPN tunnel may slow down remote connections,,,,,C
Which of the following is the best method for ensuring non-repudiation?,SSO,Digital certificate,Token,SSH key,,,,,B
Which of the following methods is the most effective for reducing vulnerabilities?,Joining an information-sharing organization,Using a scan-patch-scan process,Implementing a bug bounty program,Patching low-scoring vulnerabilities first,,,,,B
"An organization is struggling with scaling issues on its VPN concentrator and internet circuit due to remote work. The organization is looking for a software solution that will allow it to reduce traffic on the VPN and internet circuit, while still providing encrypted tunnel access to the data center and monitoring of remote employee internet traffic. Which of the following will help achieve these objectives?",Deploying a SASE solution to remote employees,Building a load-balanced VPN solution with redundant internet,Purchasing a low-cost SD-WAN solution for VPN traffic,Using a cloud provider to create additional VPN concentrators,,,,,A
Which of the following is the best reason to complete an audit in a banking environment?,Regulatory requirement,Organizational change,Self-assessment requirement,Service-level requirement,,,,,A
"After a recent ransomware attack on a company's system, an administrator reviewed the log files. Which of the following control types did the administrator use?",Compensating,Detective,Preventive,Corrective,,,,,B
A technician needs to apply a high-priority patch to a production system. Which of the following steps should be taken first?,Air gap the system.,Move the system to a different network segment.,Create a change control request.,Apply the patch to the system.,,,,,C
"A security analyst reports a company policy violation in a case in which a large amount of sensitive data is being downloaded after hours from various mobile devices to an external site. Upon further investigation, the analyst notices that successful login attempts are being conducted with impossible travel times during the same time periods when the unauthorized downloads are occurring. The analyst also discovers a couple of WAPs are using the same SSID, but they have non-standard DHCP configurations and an overlapping channel. Which of the following attacks is being conducted",Evil twin,Jamming,DNS poisoning,Bluesnarfing,DDoS,,,,A
An engineer needs to deploy a security measure to identify and prevent data tampering within the enterprise. Which of the following will accomplish this goal?,Antivirus,IPS,FTP,FIM,,,,,D
Which of the following mitigation techniques places devices in physically or logically separated networks and leverages policies to limit the types of communications that are allowed?,Host-based firewalls,Access control list,Port security,Least privileg,,,,,B
All security analysts' workstations at a company have network access to a critical server VLAN. The information security manager wants to further enhance the controls by requiring that all access to the secure VLAN be authorized only from a given single location. Which of the following will the information security manager most likely implement?,A forward proxy server,A jump server,A reverse proxy server,A stateful firewall server,,,,,B
Which of the following best describes why a company would erase a newly purchased device and install its own image with an operating system and applications?,Installing a new operating system thoroughly tests the equipment,Removing unneeded applications reduces the system's attack surface,Reimaging a system creates an updated baseline of the computer image,Wiping the device allows the company to evaluate its performance,,,,,B
A backdoor was detected on the containerized application environment. The investigation detected that a zero-day vulnerability was introduced when the latest container image version was downloaded from a public registry. Which of the following is the best solution to prevent this type of incident from occurring again?,Enforce the use of a controlled trusted source of container images.,Deploy an IPS solution capable of detecting signatures of attacks targeting containers.,Define a vulnerability scan to assess container images before being introduced on the environment.,Create a dedicated VPC for the containerized environment.,,,,,A
"An external forensics investigator has been hired to investigate a data breach at a large enterprise with numerous assets. It is known that the breach started in the perimeter network and moved to the sensitive information, generating multiple logs as the attacker traversed through the network. Which of the following will best assist with this investigation?",Perform a vulnerability scan to identify the weak spots.,Use a packet analyzer to investigate the NetFlow traffic.,Check the SIEM to review the correlated logs.,Require access to the routers to view current sessions.,,,,,C
A Chief Information Security Officer (CISO) needs to create a policy set that meets international standards for data privacy and sharing. Which of the following should the CISO read and understand before writing the policies?,PCI DSS,GDPR,NIST,ISO 31000,,,,,B
"During an internal penetration test, a security analyst identified a network device that had accepted cleartext authentication and was configured with a default credential. Which of the following recommendations should the security analyst make to secure this device?",Configure SNMPv1.,Configure SNMPv2c.,Configure SNMPv3.,Configure the default community string,,,,,C
"Developers are writing code and merging it into shared repositories several times a day, where it is tested automatically. Which of the following concepts does this best represent?",Functional testing,Stored procedures,Elasticity,Continuous integration,,,,,D
"A large financial services firm recently released information regarding a security breach within its corporate network that began several year before. During the time frame in which the breach occurred, indicators show an attacker gained administrative access to the network through a file downloaded from a social media site and subsequently installed it without the user's knowledge. Since the compromise, the attacker was able to take command and control of the computer systems anonymously while obtaining sensitive corporate and personal employee information. Which of the following methods did the attacker most likely use to gain access?",A bot,A fileless virus,A logic bomb,A RAT,,,,,D
Recent changes to a company's BYOD policy require all personal mobile devices to use a two-factor authentication method that is not something you know or have. Which of the following will meet this requirement?,Facial recognition,Six-digit PIN,PKI certificate,Smart card,,,,,A
"A critical file server is being upgraded, and the systems administrator must determine which RAID level the new server will need to achieve parity and handle two simultaneous disk failures. Which of the following RAID levels meets this requirement?",RAID 0+1,RAID 2,RAID 5,RAID 6,,,,,D
A company must ensure sensitive data at rest is rendered unreadable. Which of the following will the company most likely use?,Hashing,Tokenization,Encryption,Segmentation,,,,,C
"A security assessment found that several embedded systems are running unsecure protocols. These systems were purchased two years ago, and the company that developed them is no longer in business. Which of the following constraints best describes the reason the findings cannot be remediated?",Inability to authenticate,Implied trust,Lack of computing power,Unavailable patch,,,,,D
"A security engineer is concerned about using an agent on devices that relies completely on defined known-bad signatures. The security engineer wants to implement a tool with multiple components including the ability to track, analyze, and monitor devices without reliance on definitions alone. Which of the following solutions best fits this use case?",EDR,DLP,NGFW,HIPS,,,,,A
"A user's login credentials were recently compromised. During the investigation, the security analyst determined the user input credentials into a pop-up window when prompted to confirm the username and password. However, the trusted website does not use a pop-up for entering user credentials. Which of the following attacks occurred?",Cross-site scripting,SQL injection,DNS poisoning,Certificate forgery,,,,,C
"To reduce costs and overhead, an organization wants to move from an on-premises email solution to a cloud-based email solution. At this time, no other services will be moving. Which of the following cloud models would best meet the needs of the organization?",MaaS,IaaS,SaaS,PaaS,,,,,C
A software development manager wants to ensure the authenticity of the code created by the company. Which of the following options is the most appropriate?,Testing input validation on the user input fields,Performing code signing on company-developed software,Performing static code analysis on the software,Ensuring secure cookies are used,,,,,B
"An organization is having difficulty correlating events from its individual AV, EDR, DLP, SWG, WAF, MDM, HIPS, and CASB systems. Which of the following is the best way to improve the situation?",Remove expensive systems that generate few alerts.,Modify the systems to alert only on critical issues.,Utilize a SIEM to centralize logs and dashboards.,Implement a new syslog/NetFlow appliance,,,,,C
"A company's end users are reporting that they are unable to reach external websites. After reviewing the performance data for the DNS severs, the analyst discovers that the CPU, disk, and memory usage are minimal, but the network interface is flooded with inbound traffic. Network logs show only a small number of DNS queries sent to this server. Which of the following best describes what the security analyst is seeing?",Concurrent session usage,Secure DNS cryptographic downgrade,On-path resource consumption,Reflected denial of service,,,,,D
"An audit identified PII being utilized in the development environment of a critical application. The Chief Privacy Officer (CPO) is adamant that this data must be removed; however, the developers are concerned that without real data they cannot perform functionality tests and search for specific data. Which of the following should a security professional implement to best satisfy both the CPO's and the development team's requirements?",Data purge,Data encryption,Data masking,Data tokenization,,,,,C
A security analyst is investigating a malware incident at a company. The malware is accessing a command-and-control website at www.comptia.com. All outbound Internet traffic is logged to a syslog server and stored in /logfiles/messages. Which of the following commands would be best for the analyst to use on the syslog server to search for recent traffic to the command-and-control website?,head -500 www.comptia.com | grep /logfiles/messages,cat /logfiles/messages | tail -500 www.comptia.com,tail -500 /logfiles/messages | grep www.comptia.com,grep -500 /logfiles/messages | cat www.comptia.com,,,,,C
A systems administrator set up an automated process that checks for vulnerabilities across the entire environment every morning. Which of the following activities is the systems administrator conducting?,Scanning,Alerting,Reporting,Archiving,,,,,A
"An engineer is setting up a VDI environment for a factory location, and the business wants to deploy a low-cost solution to enable users on the shop floor to log in to the VDI environment directly. Which of the following should the engineer select to meet these requirements?",Laptops,Containers,Thin clients,Workstations,,,,,C
"A systems administrator receives the following alert from a file integrity monitoring tool:
The hash of the cmd.exe file has changed.
The systems administrator checks the OS logs and notices that no patches were applied in the last two months. Which of the following most likely
occurred?",The end user changed the file permissions.,A cryptographic collision was detected.,A snapshot of the file system was taken.,A rootkit was deployed.,,,,,D
"A security analyst was asked to evaluate a potential attack that occurred on a publicly accessible section of the company's website. The malicious actor posted an entry in an attempt to trick users into clicking the following:
https://www.c0mpt1a.com/contact-us/%3Fname%3D%3Cscript%3Ealert(document.cookie)%3C%2Fscript%3E
Which of the following was most likely observed?",DLL injection,Session replay,SQLi,XSS,,,,,D
"A company's Chief Information Security Officer (CISO) recently warned the security manager that the company's Chief Executive Officer (CEO) is planning to publish a controversial opinion article in a national newspaper, which may result in new cyberattacks. Which of the following would be best for the security manager to use in a threat model?",Hacktivists,White-hat hackers,Script kiddies,Insider threats,,,,,A
Which of the following provides a catalog of security and privacy controls related to the United States federal information systems?,GDPR,PCI DSS,ISO 27000,NIST 800-53,,,,,D
An analyst is concerned about data leaks and wants to restrict access to internet services to authorized users only. The analyst also wants to control the actions each user can perform on each service. Which of the following would be the best technology for the analyst to consider Implementing?,DLP,VPC,CASB,Content filtering,,,,,C
A grocery store is expressing security and reliability concerns regarding the on-site backup strategy currently being performed by locally attached disks. The main concerns are the physical security of the backup media and the durability of the data stored on these devices. Which of the following is a cost-effective approach to address these concerns?,Enhance resiliency by adding a hardware RAID.,Move data to a tape library and store the tapes off-site.,Install a local network-attached storage.,Migrate to a cloud backup solution.,,,,,D
A security engineer needs to recommend a solution to defend against malicious actors misusing protocols and being allowed through network defenses. Which of the following will the engineer most likely recommend?,A content filter,A WAF,A next-generation firewall,An IDS,,,,,C
A company's legal department drafted sensitive documents in a SaaS application and wants to ensure the documents cannot be accessed by individuals in high-risk countries. Which of the following is the most effective way to limit this access?,Data masking,Encryption,Geolocation policy,Data sovereignty regulation,,,,,C
An organization suffered numerous multiday power outages at its current location. The Chief Executive Officer wants to create a disaster recovery strategy to resolve this issue. Which of the following options offer low-cost solutions? (Choose two.),Warm site,Generator,Hot site,Cold site,Cloud backups,UPS,,,B & F
A security analyst discovers that one of the web APIs is being abused by an unknown third party. Logs indicate that the third party is attempting to manipulate the parameters being passed to the API endpoint. Which of the following solutions would best help to protect against the attack?,DLP,SIEM,NIDS,WAF,,,,,D
"An application owner reports suspicious activity on an internal financial application from various internal users within the past 14 days. A security analyst notices the following:
• Financial transactions were occurring during irregular time frames and outside of business hours by unauthorized users.
• Internal users in question were changing their passwords frequently during that time period.
• A jump box that several domain administrator users use to connect to remote devices was recently compromised.
• The authentication method used in the environment is NTLM.
Which of the following types of attacks is most likely being used to gain unauthorized access?",Pass-the-hash,Brute-force,Directory traversal,Replay,,,,,A
"During an incident, an EDR system detects an increase in the number of encrypted outbound connections from multiple hosts. A firewall is also reporting an increase in outbound connections that use random high ports. An analyst plans to review the correlated logs to find the source of the incident. Which of the following tools will best assist the analyst?",A vulnerability scanner,A NGFW,The Windows Event Viewer,A SIEM,,,,,D
A company recently suffered a breach in which an attacker was able to access the internal mail servers and directly access several user inboxes. A large number of email messages were later posted online. Which of the following would best prevent email contents from being released should another breach occur?,Implement S/MIME to encrypt the emails at rest.,Enable full disk encryption on the mail servers.,Use digital certificates when accessing email via the web.,Configure web traffic to only use TLS-enabled channels,,,,,A
A company hired a consultant to perform an offensive security assessment covering penetration testing and social engineering. Which of the following teams will conduct this assessment activity?,White,Purple,Blue,Red,,,,,D
Which of the following exercises should an organization use to improve its incident response process?,Tabletop,Replication,Failover,Recovery,,,,,A
"An attacker is attempting to harvest user credentials on a client's website. A security analyst notices multiple attempts of random usernames and passwords. When the analyst types in a random username and password, the logon screen displays the following message:
The username you entered does not exist.
Which of the following should the analyst recommend be enabled?",Input valuation,Obfuscation,Error handling,Username lockout,,,,,B
An organization disabled unneeded services and placed a firewall in front of a business-critical legacy system. Which of the following best describes the actions taken by the organization?,Exception,Segmentation,Risk transfer,Compensating controls,,,,,D
Which of the following describes the ability of code to target a hypervisor from inside a guest OS?,Fog computing,VM escape,Software-defined networking,Image forgery,Container breakout,,,,B
"A local server recently crashed and the team is attempting to restore the server from a backup. During the restore process, the team notices the file size of each daily backup is large and will run out of space at the current rate. The current solution appears to do a full backup every night. Which of the following would use the least amount of storage space for backups?","A weekly, incremental backup with daily differential backups","A weekly, full backup with daily snapshot backups","A weekly, full backup with daily differential backups","A weekly, full backup with daily incremental backups",,,,,D
A security analyst discovers several jpg photos from a cellular phone during a forensics investigation involving a compromised system. The analyst runs a forensics tool to gather file metadata. Which of the following would be part of the images if all the metadata is still intact?,The GPS location,When the file was deleted,The total number of print jobs,The number of copies made,,,,,A
A financial analyst is expecting an email containing sensitive information from a client. When the email arrives the analyst receives an error and is unable to open the encrypted message. Which of the following is the most likely cause of the issue?,The S/MIME plug-in is not enabled,The SSL certificate has expired,Secure IMAP was not implemented,POP3S is not supported,,,,,A
"A company develops a complex platform that is composed of a single application. After several issues with upgrades, the systems administrator recommends breaking down the application into unique, independent modules. Which of the following best identifies the systems administrator's recommendation?",Virtualization,Serverless,Microservices,API gateway,,,,,C
Which of the following would be the best way to block unknown programs from executing?,Access control list,Application allow list,Host-based firewall,DLP solution,,,,,B
A company is planning to install a guest wireless network so visitors will be able to access the internet. The stakeholders want the network to be easy to connect to so time is not wasted during meetings. The WAPs are configured so that power levels and antennas cover only the conference rooms where visitors will attend meetings. Which of the following would best protect the company's internal wireless network against visitors accessing company resources?,Configure the guest wireless network to be on a separate VLAN from the company’s internal wireless network.,Change the password for the guest wireless network every month.,Decrease the power levels of the access points for the guest wireless network.,Enable WPA2 using 802.1X for logging on to the guest wireless network,,,,,A
An organization relies on third-party videoconferencing to conduct daily business. Recent security changes now require all remote workers to utilize a VPN to corporate resources. Which of the following would best maintain high-quality videoconferencing while minimizing latency when connected to the VPN?,Using geographic diversity to have VPN terminators closer to end users,Utilizing split tunneling so only traffic for corporate resources is encrypted,Purchasing higher bandwidth connections to meet the increased demand,Configuring QoS properly on the VPN accelerators,,,,,B
A security analyst is scanning a company's public network and discovers a host is running a remote desktop that can be used to access the production network. Which of the following changes should the security analyst recommend?,Changing the remote desktop port to a non-standard number,Setting up a VPN and placing the jump server inside the firewall,Using a proxy for web connections from the remote desktop server,Connecting the remote server to the domain and increasing the password length,,,,,B
"A company recently experienced a major breach. An investigation concludes that customer credit card data was stolen and exfiltrated through a dedicated business partner connection to a vendor, who is not held to the same security control standards. Which of the following is the most likely source of the breach?",Side channel,Supply chain,Cryptographic downgrade,Malware,,,,,B
"A company would like to provide flexibility for employees on device preference. However, the company is concerned about supporting too many different types of hardware. Which of the following deployment models will provide the needed flexibility with the greatest amount of control and security over company data and infrastructure?",BYOD,VDI,COPE,CYOD,,,,,B
Which of the following threat actors is most likely to be motivated by ideology?,Business competitor,Hacktivist,Criminal syndicate,Script kiddie,Disgruntled employee,,,,B
A user would like to install software and features that are not available with a mobile device's default software. Which of the following would all the user to install unauthorized software and enable new features?,SQLi,Cross-site scripting,Jailbreaking,Side loading,,,,,C
"A user downloaded an extension for a browser and the user’s device later became infected. The analyst who is investigating the incident saw various logs where the attacker was hiding activity by deleting data. The following was observed running:
New-Partition -DiskNumber 2 -UseMaximumSize -AssignDriveLetter C| Format-Volume -DriveLetter C - FileSystemLabel ""New""-FileSystem NTFS -
Full -Force -Confirm:$false |
Which of the following is the malware using to execute the attack?",PowerShell,Python,Bash,Macros,,,,,A
An organization recently acquired an ISO 27001 certification. Which of the following would most likely be considered a benefit of this certification?,It allows for the sharing of digital forensics data across organizations.,It provides insurance in case of a data breach,It provides complimentary training and certification resources to IT security staff,It certifies the organization can work with foreign entities that require a security clearance,It assures customers that the organization meets security standards,,,,E
"A junior security analyst is reviewing web server logs and identifies the following pattern in the log file:
http://comptia.org/../../../etc/passwd
Which of the following types of attacks is being attempted and how can it be mitigated?",XSS; implement a SIEM,CSRF; implement an IPS,Directory traversal; implement a WAF,SQL injection; implement an IDS,,,,,C
A security professional wants to enhance the protection of a critical environment that is used to store and manage a company's encryption keys. The selected technology should be tamper resistant. Which of the following should the security professional implement to achieve the goal?,DLP,HSM,CA,FIM,,,,,B
Which of the following is the correct order of volatility from most to least volatile?,"Memory, temporary filesystems, routing tables, disk, network storage","Cache memory, temporary filesystems, disk, archival media","Memory, disk temporary filesystems, cache, archival media","Cache, disk, temporary filesystems, network storage, archival media",,,,,B
A Chief Information Security Officer (CISO) wants to explicitly raise awareness about the increase of ransomware-as-a-service in a report to the management team. Which of the following best describes the threat actor in the CISO's report?,Insider threat,Hacktivist,Nation-state,Organized crime,,,,,D
"Which of the following agreements defines response time, escalation points, and performance metrics?",BPA,MOA,NDA,SLA,,,,,D
A bakery has a secret recipe that it wants to protect. Which of the following objectives should be added to the company’s security awareness training?,Insider threat detection,Risk analysis,Phishing awareness,Business continuity planning,,,,,A
Which of the following must be considered when designing a high-availability network? (Choose two.),Ease of recovery,Ability to patch,Physical isolation,Responsiveness,Attack surface,Extensible authentication,,,A & D
Which of the following strategies shifts risks that are not covered in an organization’s risk strategy?,Risk transference,Risk avoidance,Risk mitigation,Risk acceptance,,,,,A
A dynamic application vulnerability scan identified that code injection could be performed using a web form. Which of the following will be the best remediation to prevent this vulnerability?,Implement input validations,Deploy MFA,Utilize a WAF,Configure HIPS,,,,,A
A security administrator needs a method to secure data in an environment that includes some form of checks so that the administrator can track any changes. Which of the following should the administrator set up to achieve this goal?,SPF,GPO,NAC,FIM,,,,,D
An analyst is working on an email security incident in which the target opened an attachment containing a worm. The analyst wants to implement mitigation techniques to prevent further spread. Which of the following is the best course of action for the analyst to take?,Apply a DLP solution,Implement network segmentation,Utilize email content filtering.,Isolate the infected attachment,,,,,B
Sales team members have been receiving threatening voicemail messages and have reported these incidents to the IT security team. Which of the following would be MOST appropriate for the IT security team to analyze?,Access control,Syslog,Session Initiation Protocol traffic logs,Application logs,,,,,C
Which of the following can be used to calculate the total loss expected per year due to a threat targeting an asset?,EF x asset value,ALE / SLE,MTBF x impact,SLE x ARO,,,,,D
A security engineer is hardening existing solutions to reduce application vulnerabilities. Which of the following solutions should the engineer implement FIRST? (Choose two.),Auto-update,HTTP headers,Secure cookies,Third-party updates,Full disk encryption,Sandboxing,Hardware encryption,,B & C
Which of the following authentication methods is considered to be the LEAST secure?,TOTP,SMS,HOTP,Token key,,,,,B
Employees in the research and development business unit receive extensive training to ensure they understand how to best protect company data. Which of the following is the type of data these employees are most likely to use in day to-day work activities?,Encrypted,Intellectual property,Critical,Data in transit,,,,,B
An audit report indicates multiple suspicious attempts to access company resources were made. These attempts were not detected by the company. Which of the following would be the best solution to implement on the company's network?,Intrusion prevention system,Proxy server,Jump server,Security zones,,,,,A
An administrator identifies some locations on the third floor of the building that have a poor wireless signal Multiple users confirm the incident and report it is not an isolated event. Which of the following should the administrator use to find the areas with a poor or non-existent wireless signal?,Heat map,Input validation,Site survey,Embedded systems,,,,,C
Which of the following has been implemented when a host-based firewall on a legacy Linux system allows connections from only specific internal IP addresses?,Compensating control,Network segmentation,Transfer of risk,SNMP traps,,,,,A
An attacker tricks a user into providing confidential information. Which of the following describes this form of malicious reconnaissance?,Phishing,Social engineering,Typosquatting,Smishing,,,,,B
"A large bank with two geographically dispersed data centers is concerned about major power disruptions at both locations. Every day each location experiences very brief outages that last for a few seconds. However, during the summer a high risk of intentional under-voltage events that could last up to an hour exists, particularly at one of the locations near an industrial smelter. Which of the following is the best solution to reduce the risk of data loss?",Dual supply,Generator,PDU,Daily backups,,,,,B
Which of the following examples would be best mitigated by input sanitization?,,nmap -p- 10.11.1.130,Email message: “Click this link to get your free gift card.”,Browser message: “Your connection is not private.”,,,,,A
An organization would like to store customer data on a separate part of the network that is not accessible to users on the mam corporate network. Which of the following should the administrator use to accomplish this goal?,Segmentation,Isolation,Patching,Encryption,,,,,A
A company is adding a clause to its AUP that states employees are not allowed to modify the operating system on mobile devices. Which of the following vulnerabilities is the organization addressing?,Cross-site scripting,Buffer overflow,Jailbreaking,Side loading,,,,,C
A company is expanding its threat surface program and allowing individuals to security test the company's internet-facing application. The company will compensate researchers based on the vulnerabilities discovered. Which of the following best describes the program the company is setting up?,Open-source intelligence,Bug bounty,Red team,Penetration testing,,,,,B
An organization experiences a cybersecurity incident involving a command-and-control server. Which of the following logs should be analyzed to identify the impacted host? (Choose two.),Application,Authentication,Error,Network,Firewall,System,,,D & F
An administrator assists the legal and compliance team with ensuring information about customer transactions is archived for the proper time period. Which of the following data policies is the administrator carrying out?,Compromise,Retention,Analysis,Transfer,Inventory,,,,B
Which of the following are the MOST likely vectors for the unauthorized or unintentional inclusion of vulnerable code in a software company's final software releases? (Choose two.),Unsecure protocols,Use of penetration-testing utilities,Weak passwords,Included third-party libraries,Vendors/supply chain,Outdated anti-malware software,,,D & E
An organization has a growing workforce that is mostly driven by additions to the sales department. Each newly hired salesperson relies on a mobile device to conduct business. The Chief Information Officer (CIO) is wondering if the organization may need to scale down just as quickly as it scaled up. The CIO is also concerned about the organization's security and customer privacy. Which of the following would be BEST to address the CIO's concerns?,Disallow new hires from using mobile devices for six months.,Select four devices for the sales department to use in a CYOD model.,Implement BYOD for the sales department while leveraging the MDM.,Deploy mobile devices using the COPE methodology.,,,,,C
"A company has limited storage space available and an online presence that cannot be down for more than four hours. Which of the following backup methodologies should the company implement to allow for the FASTEST database restore time in the event of a failure, while being mindful of the limited available storage space?",Implement full tape backups every Sunday at 8:00 p.m. and perform nightly tape rotations.,Implement differential backups every Sunday at 8:00 p.m. and nightly incremental backups at 8:00 p.m.,Implement nightly full backups every Sunday at 8:00 p.m.,Implement full backups every Sunday at 8:00 p.m. and nightly differential backups at 8:00 p.m.,,,,,D
"A startup company is using multiple SaaS and IaaS platforms to stand up a corporate infrastructure and build out a customer-facing web application. Which of the following solutions would be BEST to provide security, manageability, and visibility into the platforms?",SIEM,DLP,CASB,SWG,,,,,C
Which of the following technical controls is BEST suited for the detection and prevention of buffer overflows on hosts?,DLP,HIDS,EDR,NIPS,,,,,C
